Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
0,3.161082745,3.190752506,3.068701506,3.218399525,2.85157156,3.168500185,2.497196,1.245475292,3.644432783,3.159295321,0.82,1.62169075,1.43926239,3.389719248
0.5,3.161082745,3.189404011,3.067352772,3.219074011,2.853594303,3.168500185,2.495861,1.246142387,3.643764496,3.158627033,0.85,1.738631248,1.43926239,3.359679461
1,3.158385515,3.188729763,3.066678286,3.218399525,2.85157156,3.168500185,2.495193,1.246142387,3.644432783,3.157958984,0.83,2.078093052,1.43926239,3.350333452
1.5,3.158385515,3.190078259,3.066678286,3.218399525,2.852245808,3.168500185,2.495193,1.246810913,3.644432783,3.157290697,0.83,2.390158653,1.438593864,3.342323065
2,3.157036781,3.188729763,3.066004276,3.217725277,2.852245808,3.168500185,2.495193,1.246810913,3.645101309,3.155954123,0.86,2.019957066,1.437925816,3.337649822
2.5,3.1550138,3.188729763,3.06532979,3.217725277,2.852245808,3.168500185,2.496529,1.247479439,3.645769358,3.155954123,0.83,1.675148487,1.435253143,3.335647345
3,3.1550138,3.190078259,3.063981056,3.218399525,2.852920055,3.168500185,2.496529,1.247479439,3.645769358,3.155285835,0.84,1.708560944,1.451958656,3.330306768
3.5,3.1550138,3.190078259,3.063306808,3.217050791,2.852920055,3.168500185,2.495861,1.250820637,3.646437645,3.154617786,0.94,1.739299297,1.451958656,3.322296381
4,3.153665304,3.190752506,3.066678286,3.213005066,2.853594303,3.168500185,2.461148,1.250820637,3.646437645,3.154617786,0.87,1.715910435,1.480692863,3.320960999
4.5,3.153665304,3.191426992,3.061958313,3.210982323,2.853594303,3.168500185,2.4498,1.251489162,3.646437645,3.153949499,0.82,1.793426037,1.484702587,3.318958521
5,3.153665304,3.190078259,3.061958313,3.223794222,2.853594303,3.168500185,2.415754,1.252157688,3.646437645,3.153949499,0.86,1.857576847,1.489379406,3.320960999
5.5,3.157711267,3.1846838,3.059935331,3.230537176,2.852920055,3.168500185,2.408411,1.252157688,3.645101309,3.153949499,0.88,2.049359798,1.49338913,3.326969147
6,3.147596359,3.197495937,3.057912111,3.239977598,2.852245808,3.168500185,2.393057,1.252157688,3.641091585,3.153281212,0.83,2.092125893,1.497398376,3.330306768
6.5,3.133435726,3.192775726,3.056563854,3.265601635,2.852920055,3.168500185,2.382376,1.252157688,3.64242816,3.153281212,0.91,2.222432137,1.511431217,3.331642151
7,3.121298075,3.184009552,3.055889368,3.316849947,2.85157156,3.168500185,2.358345,1.251489162,3.644432783,3.152612925,0.90,2.346055508,1.515440941,3.332977057
7.5,3.119949341,3.179289341,3.05521512,3.448341608,2.848199844,3.168500185,2.320293,1.252157688,3.656461239,3.151944876,0.87,2.571249962,1.52011919,3.334980011
8,3.113880634,3.176591873,3.05521512,3.51779604,2.846177101,3.167825699,2.316956,1.250820637,3.706578493,3.152612925,0.86,2.553875923,1.505417824,3.334980011
8.5,3.116577864,3.175243378,3.070050001,3.553534746,2.860337734,3.167825699,2.30227,1.252157688,3.84289813,3.151944876,0.88,2.736971855,1.516777992,3.332309723
9,3.142876148,3.173894644,3.073421717,3.617594719,2.844153881,3.167825699,2.286248,1.252157688,3.911726236,3.151944876,0.88,2.602656841,1.518113613,3.326969147
9.5,3.146922112,3.173894644,3.086233616,3.694467068,2.857640266,3.167825699,2.250868,1.252157688,3.99258256,3.151944876,0.87,2.49573946,1.536156178,3.318958521
10,3.125344038,3.173220396,3.100394249,3.732228518,2.887984753,3.167825699,2.230841,1.252157688,4.07410717,3.151276588,0.90,2.035326958,1.535487652,3.317623377
10.5,3.153665304,3.170523167,3.109160423,3.759201288,2.907539845,3.167825699,2.212149,1.252157688,4.143603325,3.151276588,0.90,2.179664612,1.533483505,3.336314917
11,3.163105726,3.167825699,3.110509157,3.789545536,2.92642045,3.167825699,2.210147,1.252157688,4.185033798,3.151276588,0.89,2.661461353,1.532146454,3.325634003
11.5,3.17456913,3.169174433,3.122646809,3.836073399,2.94867301,3.167825699,2.194126,1.252157688,4.232478142,3.151276588,0.91,3.664479733,1.539497375,3.362349749
12,3.19412446,3.173220396,3.147596359,3.919688702,2.969577074,3.167825699,2.174099,1.252824783,4.271903992,3.151276588,0.86,3.991245985,1.54083395,3.368357658
12.5,3.219748259,3.175243378,3.175243378,4.050505638,2.991155148,3.167825699,2.160748,1.252824783,4.317343712,3.150608301,0.91,3.939791918,1.539497375,3.387049437
13,3.245372295,3.178614855,3.217050791,4.164465427,3.012058973,3.167825699,2.145393,1.253493309,4.36011076,3.150608301,0.95,3.508113146,1.542838573,3.401735544
13.5,3.257509947,3.1846838,3.225816965,4.23324585,3.038357258,3.167825699,2.124699,1.253493309,4.395527363,3.151276588,0.91,3.080443859,1.55152607,3.426435232
14,3.272345066,3.203564644,3.22446847,4.27640152,3.061958313,3.167825699,2.110681,1.253493309,4.433616638,3.151276588,0.92,4.044704437,1.556202888,3.418424368
14.5,3.287854195,3.275042057,3.237954855,4.34787941,3.088256598,3.16715169,2.103338,1.254161835,4.471705437,3.150608301,0.93,5.864972591,1.556871414,3.423097372
15,3.296620131,3.316175461,3.273693323,4.391709805,3.11455512,3.167825699,2.079974,1.25483036,4.499103546,3.151276588,0.85,8.283977509,1.554198742,3.543925047
15.5,3.306060791,3.326290131,3.343148232,4.414636612,3.130738497,3.166477203,2.065955,1.257503033,4.521155357,3.150608301,0.96,10.79519939,1.553530216,3.534579277
16,3.316175461,3.370795012,3.449690104,4.434191704,3.168500185,3.16715169,2.055274,1.263516426,4.533851624,3.150608301,0.94,11.53627014,1.555534363,3.552603483
16.5,3.331010342,3.404510975,3.546791553,4.459815979,3.27908802,3.173220396,2.03992,1.26752615,4.556571484,3.150608301,0.93,11.79019833,1.558208466,3.489852905
17,3.342473984,3.473965406,3.608154297,4.482742786,3.373492479,3.280436754,2.039252,1.274208546,4.575282097,3.150608301,0.96,11.89310646,1.558208466,3.489852905
17.5,3.355285883,3.50296092,3.64456749,4.525224686,3.428786278,3.327638865,2.031909,1.278217793,4.596665382,3.150608301,0.93,11.82427979,1.559544086,3.983177423
18,3.363377571,3.523864985,3.692443848,4.580518723,3.467896461,3.362028837,2.014553,1.288909912,4.624731541,3.150608301,0.95,11.67325783,1.562885284,3.976501703
18.5,3.373492479,3.540048599,3.732903004,4.623000622,3.529933691,3.394396067,2.010547,1.296260357,4.654801846,3.150608301,0.96,11.73206234,1.562217712,3.945126534
19,3.377538204,3.574438572,3.772687674,4.658064842,3.554209232,3.426089048,2.01255,1.296928883,4.677521706,3.150608301,0.93,11.81492329,1.564890385,3.905740738
19.5,3.384281397,3.608828783,3.809100866,4.677619934,3.575787306,3.461153507,2.006542,1.296928883,4.704251289,3.150608301,1.01,11.7213707,1.568231583,3.924432278
20,3.391699076,3.645241737,3.826632977,4.697849274,3.658728123,3.487451792,1.999199,1.299601555,4.724966049,3.149940014,0.91,11.73674011,1.576250553,3.935781002
20.5,3.400465012,3.66951704,3.841467857,4.710661411,3.688398123,3.511727095,2.000534,1.306952477,4.753700256,3.149940014,0.97,11.96861649,1.579591751,3.95046711
21,3.409231186,3.689746857,3.852257013,4.718753338,3.727508307,3.529933691,2.01789,1.314302921,4.771074295,3.149940014,1.00,12.12297916,1.588278294,3.967823505
21.5,3.414625645,3.728182793,3.860348701,4.733588219,3.773361921,3.549489021,2.035247,1.319648266,4.809832096,3.149940014,0.94,12.19046974,1.599638462,3.977837086
22,3.415974379,3.762572765,3.871811867,4.738983154,3.798311472,3.559603453,2.032577,1.327667713,4.849257946,3.150608301,1.00,12.19381237,1.606989384,3.995193481
22.5,3.416648626,3.785499573,3.892041683,4.747074604,3.838096142,3.57241559,2.035914,1.333013058,4.894697666,3.150608301,0.98,12.05815983,1.633718491,4.020560265
23,3.417322874,3.81112361,3.894738674,4.755840778,3.875183821,3.587924957,2.04526,1.33769083,4.939469337,3.150608301,1.00,11.93587399,1.647082806,4.034579277
23.5,3.42069459,3.829330206,3.902156353,4.776070595,3.919014215,3.603434086,2.057943,1.340363503,4.976890564,3.150608301,0.94,12.0788765,1.669134617,4.049265862
24,3.426763535,3.838096142,3.913619757,4.790230751,3.962170601,3.612874508,2.066622,1.347045898,5.010970116,3.150608301,1.00,12.12030602,1.693859577,4.076635361
24.5,3.430809259,3.854279757,3.922385931,4.798322678,4.003304005,3.614897728,2.082644,1.352392197,5.025671482,3.150608301,1.00,12.13367081,1.707223892,4.097997189
25,3.433506489,3.865743399,3.927106142,4.810460091,4.038368225,3.614897728,2.087984,1.360411167,5.042377472,3.151276588,1.03,12.20049477,1.722593784,4.111348152
25.5,3.432832241,3.87046361,3.942615271,4.821923733,4.083547592,3.615571976,2.090654,1.364419937,5.061756134,3.151276588,1.07,12.22321415,1.739299297,4.126034737
26,3.431483746,3.883949757,3.95475316,4.836758614,4.153676033,3.616246223,2.10534,1.374443054,5.076457024,3.151276588,1.02,12.26130295,1.758677959,4.140720844
26.5,3.432832241,3.902830601,3.964867592,4.842827797,4.20087862,3.616920471,2.118691,1.379789829,5.098508835,3.151276588,1.02,12.26130295,1.768701077,4.148731232
